"Survey_Group2011","Survey_Code2011","Recipient_Code","Visa_Code_DG","MR_Code_DG","MR_Field_DG","Empl_Matrix_Name_DG","Emp_Status_Name_DG","Postdoctorate_Name_DG","Degree_Institution","Degree_Department","Citizen_Name_DG","DG_No_Forms","City","State","Zip","Type_of_Degree_DG","Surgroup2011","Recipient_Number","Sex_Code_DG","Empl_Matrix_Code_OLD","Postdoctorate_Code_DG","Emp_Status_Code_DG","Left_US_DG","Empl_Position_Title","Empl_Dept_Div","Empl_Inst_Org","Empl_City","Empl_State","Empl_Zip","Empl_Country","Surcode2011","Serial Number_DG","DG_Forms_Current_Yr","Surgroup","Survey_Code","Survey_Group","Empl_Matrix_Name","Empl_Matrix_Code","Granting Dept Serial Number","Surcode","Left_US_Code_DG","Date_Conferred_Code","survey_year","survey_type"
20.0,CTUC,"120CTUC0212",888.0,16.0,"1-Alg",Bachelors,Full-time,No,"University of Connecticut, Storrs",Department of Mathematics,United States,7.0,Storrs,CT,"06269",PHD,"20",2.0,2.0,70.0,2.0,1.0,No,Visiting Instructor,Department of Mathematics,Lebanon Valley College ,Annville,PA,"17003-1400",United States,"20CTUC",20123423,7.0,MPu_M,CTUC,120.0,Bachelors,510.0,1298.0,"120CTUC",2.0,11.0,2012,DGData
20.0,CTUC,"120CTUC0312",888.0,42.0,"2-Anal",Group II,Full-time,No,"University of Connecticut, Storrs",Department of Mathematics,United States,7.0,Storrs,CT,"06269",PHD,"20",3.0,2.0,20.0,2.0,1.0,No,Assistant Professor in Residence,Department of Mathematics,"University of Connecticut, Storrs",Storrs,CT,"06269-3009",United States,"20CTUC",20120894,7.0,MPu_M,CTUC,120.0,Math Public Medium,120.0,1298.0,"120CTUC",2.0,11.0,2012,DGData
20.0,CTUC,"120CTUC0412",888.0,60.0,"5-Prob",Other Academic,Full-time,No,"University of Connecticut, Storrs",Department of Mathematics,United States,7.0,Storrs,CT,"06269",PHD,"20",4.0,2.0,90.0,2.0,1.0,No,Assistant Professor,Department of Applied Mathematics,Wentworth Institute of Technology,Boston ,MA,"02115",United States,"20CTUC",20121479,7.0,MPu_M,CTUC,120.0,Other Academic,905.0,1298.0,"120CTUC",2.0,11.0,2012,DGData
20.0,CTUC,"120CTUC0512",888.0,5.0,"4-Disc",Masters,Full-time,Yes,"University of Connecticut, Storrs",Department of Mathematics,United States,7.0,Storrs,CT,"06269",PHD,"20",5.0,2.0,60.0,1.0,1.0,No,Postdoctoral Fellow,Department of Mathematics,City College (CUNY),New York,NY,"10031",,"20CTUC",20120429,7.0,MPu_M,CTUC,120.0,Masters,410.0,1298.0,"120CTUC",2.0,11.0,2012,DGData
20.0,CTUC,"120CTUC0712",1.0,0.0,"12-Oth",Business/Industry,Full-time,No,"University of Connecticut, Storrs",Department of Mathematics,China,7.0,Storrs,CT,"06269",PHD,"20",7.0,2.0,120.0,2.0,1.0,No,Senior Consultant,,Deloitte Consulting LLP,Hartford,CT,"06103",United States,"20CTUC",20121593,7.0,MPu_M,CTUC,120.0,Business/Industry,935.0,1298.0,"120CTUC",2.0,11.0,2012,DGData
20.0,FLSU,"120FLSU0212",2.0,11.0,"1-Alg",Group I Public,Full-time,Yes,Florida State University,Department of Mathematics,India,12.0,Tallahassee,FL,"32306",PHD,"20",2.0,2.0,11.0,1.0,1.0,No,Visiting Assistant Professor,School of Mathematics,Georgia Institute of Technology,Atlanta,GA,"30332",,"20FLSU",20123660,12.0,MPu_M,FLSU,120.0,Math Public Medium,120.0,1426.0,"120FLSU",2.0,2.0,2012,DGData
20.0,FLSU,"120FLSU0312",2.0,92.0,"7-Appl",Still Seeking (US),Still seeking,Not Applicable,Florida State University,Department of Mathematics,China,12.0,Tallahassee,FL,"32306",PHD,"20",3.0,2.0,180.0,888.0,3.0,No,,,,,,,,"20FLSU",20124410,12.0,MPu_M,FLSU,120.0,Still Seeking (US),975.0,1426.0,"120FLSU",2.0,10.0,2012,DGData
20.0,FLSU,"120FLSU0412",2.0,91.0,"7-Appl",Bachelors,Full-time,No,Florida State University,Department of Mathematics,China,12.0,Tallahassee,FL,"32306",PHD,"20",4.0,1.0,70.0,2.0,1.0,No,Assistant Professor,Department of Mathematics and Actuarial Sciences,Indiana University Northwest,Gary,IN,"46408",,"20FLSU",20124512,12.0,MPu_M,FLSU,120.0,Bachelors,510.0,1426.0,"120FLSU",2.0,2.0,2012,DGData
20.0,FLSU,"120FLSU0512",2.0,60.0,"5-Prob",Business/Industry,Full-time,No,Florida State University,Department of Mathematics,China,12.0,Tallahassee,FL,"32306",PHD,"20",5.0,2.0,120.0,2.0,1.0,No,Associate Officer/Quantitative Analyst,Value Equity Research,Alliance Bernstein LP,New York,NY,"10105",,"20FLSU",20121554,12.0,MPu_M,FLSU,120.0,Business/Industry,935.0,1426.0,"120FLSU",2.0,10.0,2012,DGData
20.0,FLSU,"120FLSU0612",2.0,41.0,"8-Num",Government,Full-time,Yes,Florida State University,Department of Mathematics,China,12.0,Tallahassee,FL,"32306",PHD,"20",6.0,1.0,110.0,1.0,1.0,No,Postdoc,DIAM Image Analysis Laboratory,Food and Drug Administration/CDRH/OSEL,Silver Spring,MD,"20993",,"20FLSU",20123225,12.0,MPu_M,FLSU,120.0,Government,925.0,1426.0,"120FLSU",2.0,2.0,2012,DGData
